date,user,user_id,email,error_1,error_2,error_3,error_4,error_5
"October 4, 2023, 5:31 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
"October 4, 2023, 5:31 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
"October 4, 2023, 5:31 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
"October 4, 2023, 5:31 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
"October 4, 2023, 5:31 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
"October 4, 2023, 5:32 pm",guest,,,Guest,"Notifications Bar:The card number is incomplete."
"October 4, 2023, 5:32 pm",guest,,,Guest,"Notifications Bar:The card number is incomplete."
"October 4, 2023, 5:32 pm",guest,,,Guest,"Notifications Bar:The card number is incomplete."
"October 4, 2023, 5:32 pm",guest,,,Guest,"Notifications Bar:The card number is incomplete."
"October 4, 2023, 5:32 pm",guest,,,Guest,"Notifications Bar:The card number is incomplete."
"October 4, 2023, 5:32 pm",guest,,,Guest,"Notifications Bar:The card number is incomplete."
"October 4, 2023, 5:32 pm",guest,,,Guest,"Notifications Bar:The card\'s expiration date is incomplete."
"October 4, 2023, 5:32 pm",guest,,,Guest,"Notifications Bar: Unfortunately we do not ship to SL. Please enter an alternative shipping address."
"October 4, 2023, 5:33 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
"October 4, 2023, 5:33 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
"October 4, 2023, 5:33 pm",guest,,,Guest,"Notifications Bar:The card number is incomplete."
"October 4, 2023, 5:33 pm",guest,,,Guest,"Notifications Bar:The card number is incomplete."
"October 4, 2023, 5:33 pm",guest,,,Guest,"Notifications Bar:The card number is not a valid credit card number."
"October 4, 2023, 5:33 pm",guest,,,Guest,"Notifications Bar:The card\'s expiration year is in the past"
"October 4, 2023, 5:33 pm",guest,,,Guest,"Notifications Bar: Unfortunately we do not ship to SL. Please enter an alternative shipping address."
"October 4, 2023, 5:34 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
"October 4, 2023, 5:34 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
"October 4, 2023, 5:34 pm",guest,,,Guest,"Notifications Bar:The card number is not a valid credit card number."
"October 4, 2023, 5:34 pm",guest,,,Guest,"Notifications Bar:The card\'s expiration year is in the past"
"October 4, 2023, 5:34 pm",guest,,,Guest,"Notifications Bar: Unfortunately we do not ship to SL. Please enter an alternative shipping address."
"October 4, 2023, 5:35 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
"October 4, 2023, 5:35 pm",guest,,,"Error: There are no shipping options available. Please ensure that your address has been entered correctly, or contact us if you need any help."
